2026-01-11 07:10:27,751 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:10:27,916 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:13:18,033 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:13:18,225 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:16:18,549 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:16:18,706 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:19:18,358 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:19:18,609 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:22:14,196 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:22:14,332 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:25:06,935 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:25:07,089 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:28:05,436 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:28:05,657 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:30:57,254 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:30:57,410 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:33:49,318 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:33:49,460 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:36:48,747 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:36:48,944 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:39:48,826 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:39:48,982 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:42:52,946 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:42:53,120 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:45:52,328 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:45:52,482 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:48:51,142 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:48:51,336 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:51:53,382 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:51:53,530 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:54:57,264 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:54:57,404 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 07:58:09,412 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 07:58:09,595 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:01:18,889 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:01:19,028 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:04:27,010 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:04:27,167 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:07:42,040 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:07:42,357 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:10:59,656 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:10:59,814 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:14:18,071 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:14:18,254 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:17:45,243 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:17:45,374 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 08:21:14,551 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 08:21:14,702 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
