2026-01-11 15:07:24,873 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 15:07:32,200 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
2026-01-11 15:07:34,381 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 15:07:34,446 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 15:07:37,953 | get_all_planets_by_id.py | INFO | There is planet with the 2 id in the DB
2026-01-11 15:07:42,667 | get_all_planets_by_id.py | INFO | There is planet with the 4 id in the DB
2026-01-11 15:07:42,667 | get_all_planets_by_id.py | INFO | Error on getting planet 4 id from DB
2026-01-11 15:07:45,008 | get_all_planets_by_id.py | INFO | There is planet with the 5 id in the DB
2026-01-11 15:07:45,009 | get_all_planets_by_id.py | INFO | Error on getting planet 5 id from DB
2026-01-11 15:07:47,290 | get_all_planets_by_id.py | INFO | There is planet with the 6 id in the DB
2026-01-11 15:07:50,338 | get_all_planets_by_id.py | INFO | There is planet with the 7 id in the DB
2026-01-11 15:09:51,117 | char_endpoint.py | INFO | Got all characters from SWAPI Tech
2026-01-11 15:09:51,326 | details_endpoint.py | INFO | Got all characters  detalis from SWAPI Info
2026-01-11 15:10:06,260 | get_all_planets.py | INFO | Got all planets from DB
2026-01-11 15:10:09,433 | get_all_planets_by_id.py | INFO | There is planet with the 1 id in the DB
